#********************  Core Scattering Data  ********************
#******************  B. Watts & H. Ade et al.  ******************
#
#Acronym:	P3HT
#Name:		Regioregular Poly(3-hexylthiophene-2,5-diyl)
#Formula:	C10SH14
#Formula Mass:	166.284160
#Reference:	J. Chem. Phys. 134, 024702 (2011); doi:10.1063/1.3506636
#Source:	Merck KGaA
#Acquisition:	TEY (drain current) NEXAFS
#Abs. Edge (Resolution):	C-K (50 meV)
#Incidence Angle:	50°
#Write Date:	2011-02-22
#----------------------------------------------------------------
#Energy (eV)	f1	f2
#----------------------------------------------------------------
295.800000	47.648640	67.154130
296.150000	48.517420	66.931630
296.500000	49.514950	66.398130
296.850000	50.416150	65.807980
297.200000	51.149520	64.977050
297.550000	51.426110	64.210550
297.900000	51.597780	63.927030
298.250000	52.026230	63.876220
298.600000	52.528790	63.669250
298.950000	53.017260	63.615210
299.300000	53.636460	63.595660
299.650000	54.310000	63.431940
300.000000	54.902400	63.302250
300.350000	55.528200	63.225430
300.700000	56.172990	63.130090
301.050000	56.835050	63.088150
301.400000	57.609430	63.089640
301.750000	58.494070	62.954000
302.100000	59.368840	62.764030
302.450000	60.234010	62.479490
302.800000	61.108550	62.202210
303.150000	62.003780	61.797990
303.500000	62.866890	61.352000
303.850000	63.728100	60.819280
304.200000	64.537780	60.174730
304.550000	65.221880	59.454280
304.900000	65.876240	58.792920
305.250000	66.451240	57.948730
305.600000	66.909430	57.193730
305.950000	67.271400	56.338700
306.300000	67.524720	55.599930
306.650000	67.732760	54.847400
307.000000	67.857920	54.143870
307.350000	67.929170	53.486170
307.700000	67.924070	52.870480
308.050000	67.889890	52.381830
308.400000	67.920190	51.961440
308.750000	67.931820	51.477010
309.100000	67.914720	51.097690
309.450000	67.955410	50.725800
309.800000	67.954990	50.277130
310.150000	67.854390	49.896250
310.500000	67.758220	49.632220
310.850000	67.748770	49.420870
311.200000	67.743830	49.117460
311.550000	67.684260	48.878580
311.900000	67.657920	48.685600
312.250000	67.642210	48.468340
312.600000	67.586840	48.272860
312.950000	67.571020	48.159010
313.300000	67.585160	47.993530
313.650000	67.595610	47.857560
314.000000	67.612370	47.692050
314.350000	67.571160	47.527980
314.700000	67.527510	47.457380
315.050000	67.562780	47.431140
315.400000	67.655680	47.331210
315.750000	67.705530	47.182860
316.100000	67.651890	47.050860
316.450000	67.671390	47.086760
316.800000	67.780740	47.032580
317.150000	67.853370	46.939010
317.500000	67.924120	46.886020
317.850000	68.022080	46.809130
318.200000	68.085390	46.700260
318.550000	68.151310	46.651650
318.900000	68.264990	46.579340
319.250000	68.291670	46.422300
319.600000	68.339050	46.422760
320.000000	68.453390	46.321170
321.500000	68.663350	46.079640
323.000000	69.039290	46.051820
324.500000	69.609840	45.954820
326.000000	70.189090	45.652050
327.500000	70.676560	45.401490
329.000000	71.209820	45.157090
330.500000	71.717430	44.822230
332.000000	72.210070	44.555510
333.500000	72.736940	44.213800
335.000000	73.203270	43.811110
336.500000	73.599350	43.419210
338.000000	73.963540	43.049020
339.500000	74.284960	42.679580
341.000000	74.605340	42.373550
342.500000	74.940690	42.025470
344.000000	75.217700	41.644550
345.500000	75.405370	41.286300
347.000000	75.544640	41.019190
348.500000	75.674160	40.836540
350.000000	75.916420	40.773660
352.319000	76.405550	40.461730
358.017000	77.403240	39.721500
363.808000	78.377220	38.994900
369.692000	79.324500	38.281800
375.672000	80.271660	37.581900
381.748000	81.199210	36.820800
387.922000	82.049120	36.026550
394.197000	82.829000	35.241970
400.573000	83.552770	34.458370
407.052000	84.217300	33.685900
409.800000	84.482450	33.370870
410.000000	84.501670	33.347940
413.635000	84.837470	32.931220
420.326000	85.411480	32.193440
427.124000	85.949300	31.472300
434.032000	86.453510	30.767430
441.052000	86.927880	30.078470
448.186000	87.376570	29.403850
455.435000	87.799700	28.738770
462.802000	88.195890	28.084950
470.287000	88.566360	27.443970
477.894000	88.914430	26.817620
485.623000	89.247490	26.204760
493.478000	89.558880	25.590600
501.459000	89.842760	24.990880
509.570000	90.106210	24.405250
517.812000	90.351370	23.833610
526.187000	90.579980	23.275600
534.698000	90.793380	22.730940
543.000000	90.988470	22.220620
543.200000	90.992900	22.208320
543.346000	90.996040	22.199350
552.134000	91.185790	21.680320
561.065000	91.365680	21.165460
570.139000	91.528420	20.659280
579.361000	91.676760	20.166860
588.732000	91.814280	19.686800
598.254000	91.941960	19.218490
607.930000	92.060670	18.761350
617.763000	92.171470	18.315170
627.755000	92.276300	17.879200
637.908000	92.375380	17.449840
648.226000	92.465410	17.025110
658.711000	92.542990	16.607200
669.365000	92.601910	16.199440
680.191000	92.650360	15.822310
691.193000	92.709770	15.472070
702.372000	92.801270	15.134380
713.733000	92.907270	14.757760
725.277000	92.984890	14.359400
737.008000	93.035350	13.971830
748.928000	93.072490	13.594780
761.042000	93.099230	13.227910
773.351000	93.117270	12.870950
785.859000	93.127980	12.523980
798.570000	93.132710	12.186640
811.486000	93.132200	11.858320
824.611000	93.127040	11.538910
837.949000	93.118530	11.228170
851.502000	93.106960	10.924140
865.274000	93.091440	10.626450
879.269000	93.071110	10.335230
893.491000	93.046380	10.052060
907.943000	93.018420	9.776695
922.628000	92.988320	9.508951
937.551000	92.955650	9.246821
952.715000	92.919800	8.991644
968.124000	92.881520	8.743301
983.783000	92.841070	8.501611
999.695000	92.798850	8.266615
1015.860000	92.755360	8.038121
1032.290000	92.711770	7.815781
1048.990000	92.667780	7.596754
1065.960000	92.620600	7.380889
1083.200000	92.570140	7.171378
1100.720000	92.517880	6.967669
1118.520000	92.463850	6.769532
1136.610000	92.408370	6.577298
1155.000000	92.351940	6.390486
1173.680000	92.294610	6.208937
1192.660000	92.236550	6.032699
1211.950000	92.178060	5.861404
1231.550000	92.119550	5.694911
1251.470000	92.060940	5.532109
